Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"A review of multi-criteria decision making applications for renewable energy site selection","Multi-criteria decision making methods are commonly used in renewable energy site selection, with literature surveys and expert opinions as common criteria selection methods.","Meng Shao, Zhi Han, J. Sun, Chengsi Xiao, Shu-lei Zhang, Yuan-xu Zhao",2020,410,"","systematic review","Renewable Energy","1","10.1016/j.renene.2020.04.137","https://consensus.app/papers/a-review-of-multicriteria-decision-making-applications-shao-han/31f484d1e2bd57938340b59f9b6aedea/"
"Multicriteria Decision Making in Supply Chain Management Using FMEA and Hybrid AHP-PROMETHEE Algorithms","The combination of FMEA, AHP, and PROMETHEE algorithms improves supplier selection by identifying low-risk suppliers based on company-chosen criteria.","Bandar Altubaishe, Salil Desai",2023,25,"In today's global environment, supplier selection is one of the critical strategic decisions made by supply chain management. The supplier selection process involves the evaluation of suppliers based on several criteria, including their core capabilities, price offerings, lead times, geographical proximity, data collection sensor networks, and associated risks. The ubiquitous presence of internet of things (IoT) sensors at different levels of supply chains can result in risks that cascade to the upstream end of the supply chain, making it imperative to implement a systematic supplier selection methodology. This research proposes a combinatorial approach for risk assessment in supplier selection using the failure mode effect analysis (FMEA) with hybrid analytic hierarchy process (AHP) and the preference ranking organization method for enrichment evaluation (PROMETHEE). The FMEA is used to identify the failure modes based on a set of supplier criteria. The AHP is implemented to determine the global weights for each criterion, and PROMETHEE is used to prioritize the optimal supplier based on the lowest supply chain risk. The integration of multicriteria decision making (MCDM) methods overcomes the shortcomings of the traditional FMEA and enhances the precision of prioritizing the risk priority numbers (RPN). A case study is presented to validate the combinatorial model. The outcomes indicate that suppliers were evaluated more effectively based on company chosen criteria to select a low-risk supplier over the traditional FMEA approach. This research establishes a foundation for the application of multicriteria decision-making methodology for unbiased prioritization of critical supplier selection criteria and evaluation of different supply chain suppliers.","","Sensors (Basel, Switzerland)","1","10.3390/s23084041","https://consensus.app/papers/multicriteria-decision-making-in-supply-chain-management-altubaishe-desai/3f3cdb64955d555eaaf52f550821aa04/"
"A Comparative Analysis of Multi-Criteria Decision-Making Methods for Resource Selection in Mobile Crowd Computing","This paper compares various MCDM methods for resource selection in mobile crowd computing, aiming to find a time-efficient algorithm for real-time implementation in dynamic and time-constrained environments.","P. K. Pramanik, S. Biswas, Saurabh Pal, D. Marinković, Prasenjit Choudhury",2021,100,"In mobile crowd computing (MCC), smart mobile devices (SMDs) are utilized as computing resources. To achieve satisfactory performance and quality of service, selecting the most suitable resources (SMDs) is crucial. The selection is generally made based on the computing capability of an SMD, which is defined by its various fixed and variable resource parameters. As the selection is made on different criteria of varying significance, the resource selection problem can be duly represented as an MCDM problem. However, for the real-time implementation of MCC and considering its dynamicity, the resource selection algorithm should be time-efficient. In this paper, we aim to find out a suitable MCDM method for resource selection in such a dynamic and time-constraint environment. For this, we present a comparative analysis of various MCDM methods under asymmetric conditions with varying selection criteria and alternative sets. Various datasets of different sizes are used for evaluation. We execute each program on a Windows-based laptop and also on an Android-based smartphone to assess average runtimes. Besides time complexity analysis, we perform sensitivity analysis and ranking order comparison to check the correctness, stability, and reliability of the rankings generated by each method.","theoretical, modeling, or simulation study","Symmetry","2","10.3390/sym13091713","https://consensus.app/papers/a-comparative-analysis-of-multicriteria-decisionmaking-pramanik-biswas/f5d019cbcdce56b9a1f3e92f14ae5407/"
"An Integrated MCDM Approach for Cloud Service Selection Based on TOPSIS and BWM","The proposed MCDM approach, incorporating TOPSIS and BWM, is more efficient and reliable than the Analytical Hierarchical Process (AHP) for selecting the best Cloud Service Provider.","Ahmed E. Youssef",2020,97,"Cloud Computing (CC) has become increasingly popular since it provides a wide variety of customized and reliable computational services. With the rapid growth of this technology, more and more IT services providers compete to offer high-quality and cost-effective cloud services that best fulfill their customers’ needs. Given the vast diversity of these offers, the choice of the most appropriate Cloud Service Provider (CSP) became a dilemma that confuses most cloud customers. Many diverged criteria have to be considered to precisely evaluate services offered by several CSPs, some of these criteria cannot be quantified easily such as usability and security. The selection of the best CSP is thus a complex Multi-Criteria Decision Making (MCDM) problem that needs to be addressed efficiently. Previous studies of this problem employed MCDM methods that are either unfeasible when it is difficult or meaningless to quantify alternatives over criteria or computationally expensive and inconsistent when relative preferences of alternatives and criteria are used instead. In this paper, we propose a novel MCDM approach that is feasible, efficient and consistent using relative preferences of criteria and alternatives. The proposed approach incorporates Technique for Order of Preference by Similarity to Ideal Solution (TOPSIS) and the Best Worst Method (BWM) to rank CSPs using evaluation criteria characterizing their services. The integrated approach has been tested and validated through a use-case scenario which demonstrates its effectiveness and correctness. We have also compared the proposed approach to the most commonly used MCDM approach, Analytical Hierarchical Process (AHP). The results clearly show that the proposed approach outperforms AHP in terms of computational complexity and consistency; hence, it is more efficient and reliable than AHP.","","IEEE Access","1","10.1109/access.2020.2987111","https://consensus.app/papers/an-integrated-mcdm-approach-for-cloud-service-selection-youssef/8d6f1b5a68885719897ecc7a5dc0e423/"
"A decision analysis model for material selection using simple ranking process","The simple ranking process (SRP) effectively solves complex material selection problems, with its reliability increasing with the number of criteria considered.","Shervin Zakeri, Prasenjit Chatterjee, Dimitris Konstantas, Fatih Ecer",2023,76,"A large number of materials and various criteria fashion material selection problems as complex multi-criteria decision-making (MCDM) problems. This paper proposes a new decision-making method called the simple ranking process (SRP) to solve complex material selection problems. The accuracy of the criteria weights has a direct impact on the outcomes of the new method. In contrast to current MCDM methods, the normalization step has been eliminated from the SRP method as a potential source of producing incorrect results. The application of the method is appropriate for situations with high levels of complexity in material selection because it only considers the ranks of alternatives in each criterion. The first scenario of vital-immaterial mediocre method (VIMM) is used as a tool to derive criteria weights based on expert assessment. The result of SRP is compared with a number of MCDM methods. In order to evaluate the findings of analytical comparison, a novel statistical measure known as compromise decision index (CDI) is proposed in this paper. CDI revealed that the MCDM methods' outputs for solving the material selection could not be theoretically proven and requires to be evaluated through practice. As a result, the dependency analysis-an additional innovative statistical measure is introduced to demonstrate the reliability of MCDM methods by assessing its dependency on criteria weights. The findings demonstrated that SRP is extremely reliant on criteria weights and its reliability rises with the number of criteria, making it a perfect tool for solving challenging MCDM problems.

© 2023. The Author(s).","","Scientific Reports","1","10.1038/s41598-023-35405-z","https://consensus.app/papers/a-decision-analysis-model-for-material-selection-using-zakeri-chatterjee/9b8aedf90b185e7688df503ff87fa685/"
"A New Model for Determining Weight Coefficients of Criteria in MCDM Models: Full Consistency Method (FUCOM)","The Full Consistency Method (FUCOM) provides better multi-criteria decision-making results than existing methods, with a smaller number of pairwise comparisons and consistent weight coefficients for rational judgment.","D. Pamucar, Željko Stević, S. Sremac",2018,744,"In this paper, a new multi-criteria problem solving method—the Full Consistency Method (FUCOM)—is proposed. The model implies the definition of two groups of constraints that need to satisfy the optimal values of weight coefficients. The first group of constraints is the condition that the relations of the weight coefficients of criteria should be equal to the comparative priorities of the criteria. The second group of constraints is defined on the basis of the conditions of mathematical transitivity. After defining the constraints and solving the model, in addition to optimal weight values, a deviation from full consistency (DFC) is obtained. The degree of DFC is the deviation value of the obtained weight coefficients from the estimated comparative priorities of the criteria. In addition, DFC is also the reliability confirmation of the obtained weights of criteria. In order to illustrate the proposed model and evaluate its performance, FUCOM was tested on several numerical examples from the literature. The model validation was performed by comparing it with the other subjective models (the Best Worst Method (BWM) and Analytic Hierarchy Process (AHP)), based on the pairwise comparisons of the criteria and the validation of the results by using DFC. The results show that FUCOM provides better results than the BWM and AHP methods, when the relation between consistency and the required number of the comparisons of the criteria are taken into consideration. The main advantages of FUCOM in relation to the existing multi-criteria decision-making (MCDM) methods are as follows: (1) a significantly smaller number of pairwise comparisons (only n − 1), (2) a consistent pairwise comparison of criteria, and (3) the calculation of the reliable values of criteria weight coefficients, which contribute to rational judgment.","","Symmetry","2","10.3390/sym10090393","https://consensus.app/papers/a-new-model-for-determining-weight-coefficients-of-pamucar-stevi/f19beaabe47855e396d12891544de9c7/"
"Exploring the shortcomings in formal criteria selection for multicriteria decision making based inventory classification models: a systematic review and future directions","Formal criteria selection methods are needed to improve the reliability and utility of multicriteria decision making (MCDM) models in inventory classification research.","F. Theunissen, C. Bezuidenhout, Shafiq Alam",2024,8,"Criteria selection significantly impacts the reliability and utility of multicriteria decision making (MCDM) models. While criteria may vary across industries, a formalised criteria selection process is influential in determining MCDM model outcomes. This article analyses and compares the criteria selection approaches used in 62 articles that apply MCDM-based inventory classification models, contrasting them with methodologies outside the field. Our findings reveal a conspicuous absence of formal criteria selection methods within MCDM-based inventory classification research. The limited application of quantitative and qualitative approaches indicates that this field has not kept pace with methodological advances in criteria selection. To bridge this gap, we advocate for further research aimed at developing a conceptual framework for criteria selection tailored to inventory classification. We also suggest evaluating the impact of formal criteria selection processes on inventory management decisions and exploring the benefits of integrating artificial intelligence into criteria selection for inventory classification studies. Additionally, this article identifies several limitations related to criteria selection for practitioners employing MCDM-based inventory classification models.","systematic review","International Journal of Production Research","1","10.1080/00207543.2024.2320680","https://consensus.app/papers/exploring-the-shortcomings-in-formal-criteria-selection-theunissen-bezuidenhout/c4ff976614265f0d9d9ccf9ce043844f/"
"Application of an MCDM model with data mining techniques for green supplier evaluation and selection","A hybrid MCDM model integrating SVM, FBWM, and FTOPSIS effectively selects the most suitable green suppliers in green supply chain management.","J. Liou, M. Chang, Huai-Wei Lo, M. Hsu",2021,107,"","theoretical, modeling, or simulation study","Appl. Soft Comput.","1","10.1016/j.asoc.2021.107534","https://consensus.app/papers/application-of-an-mcdm-model-with-data-mining-techniques-liou-chang/5c0b2a8eee145f7491fd4ac22d4bb906/"
"A Hybrid Multi-Criteria Decision-Making Model Combining DANP with VIKOR for Sustainable Supplier Selection in Electronics Industry","The hybrid multi-criteria decision-making model combining DANP and VIKOR effectively selects sustainable suppliers in the electronics industry, balancing economic, social, and environmental factors.","B. Rahardjo, Fuxiang Wang, Shih-Che Lo, Jia-Hong Chou",2023,31,"Sustainability in operations and supply chains is becoming more popular among academics and practitioners through Sustainable Supplier Selection (SSS). In addition to balancing economic, social, and environmental factors, the awareness of the United Nations Sustainable Development Goals 2030 has affected the selection of long-term suppliers, ensuring green operations and sustainable supply chains. The criteria for SSS have multiple dimensions and are interdependent; this mimics the real-world scenario rather than assuming independently from an analytic hierarchy process. We use the multi-criteria decision-making (MCDM) model, combining DEMATEL-based on ANP (called DANP) with VIKOR, to solve the SSS problem. The DANP method is used to model and assess the interdependent relationships between criteria. Then, ranking the available alternatives and selecting the best one can be accomplished using the VIKOR method. We consider the electronic manufacturing industry in Taiwan as an empirical case. This study, in addition to selecting the best sustainable supplier, demonstrates the use of influential network relationship maps to analyze and improve the gaps in each dimension and criterion.","theoretical, modeling, or simulation study","Sustainability","1","10.3390/su15054588","https://consensus.app/papers/a-hybrid-multicriteria-decisionmaking-model-combining-rahardjo-wang/93634bafdded5a35a57a7effba3f04fe/"
"Comparative Assessment of the Stability of AHP and FAHP Methods","The AHP and FAHP methods are both mathematically well-based and consistent, providing stable results for multicriteria decision-making.","Irina Vinogradova, V. Podvezko, E. Zavadskas",2021,72,"Mathematical models describing physical, technical, economic, and other processes can be used to analyze these processes and predict their results, providing that these models are stable and their results are stable relative to the model parameters used. Small changes in the values of the model parameters correspond to small changes in the results. Multicriteria decision-making models need to check the results’ stability against the models’ main components: the values of the criteria weights and the elements of the decision matrix. In this article, we study the stability of models associated with the calculation of criteria weights. For the analysis, the most commonly used models are taken—the Analytic Hierarchy Process (AHP) method and the fuzzy Analytic Hierarchy Process (FAHP) method, in which fuzzy numbers are used under conditions of data uncertainty. Both mathematically well-based methods verify the consistency of the expert evaluations. The method of statistical simulation (Monte Carlo) is the basis for studying the results’ stability. The study checks the experts’ provided evaluations’ consistency, calculates the criteria weights, and evaluates their relative errors after a slight change in the estimates of the pairwise comparisons of the criteria provided by the experts. The matrix of comparisons of the FAHP method is constructed based on the entire expert group’s assessments. It estimates the boundaries of variance in the fuzzy criteria weights. This paper estimates the stability of the criteria’ weights associated with the mathematical methods themselves and the experts’ estimates. The results are useful to study the stability of specific MCDM methods when ranking alternatives.","theoretical, modeling, or simulation study","Symmetry","2","10.3390/sym13030479","https://consensus.app/papers/comparative-assessment-of-the-stability-of-ahp-and-fahp-vinogradova-podvezko/439eb98ec8385dd9adbb3b1f21a91e67/"
"An Interval-Valued Pythagorean Fuzzy AHP and COPRAS Hybrid Methods for the Supplier Selection Problem","The IPF-AHP and IPF-COPRAS hybrid methods effectively aid companies in identifying and selecting the best suppliers, despite minor changes in criteria weights.","B. Erdebilli, Ibrahim Yılmaz, Tamer Aksoy, Umit Hacioglu, S. Yüksel, H. Di̇nçer",2023,26,"Companies must be able to identify their suppliers appropriately and effectively in order to survive in the competitive market conditions. In order to fulfill and surpass the expectations of the consumers and clients, companies need to interact with the relevant suppliers. It is a tough manner for companies to select the best supplier from a large number of relevant alternatives. The selection process of the appropriate supplier involves multiple interacting and competing factors. Generally, the selection process and its results cause a waste of time and money. For this purpose, MCDM methodologies are utilized to manage this complex process efficiently. MCDMs allows for consistent and accurate decision-making as well as the selection of the most appropriate supplier. MCDM is one the most preferred tool to select the best alternative under the conflicting and competitive criteria when the evaluations are made in crisp numbers. Therefore, MCDM methods are preferred in various applications in academia and real life. However, the evaluations could not be always possible with crisp numbers, especially in vague environments or evaluations needs qualitative data. This study is one of the first to combine the AHP and COPRAS supplier selection methods with interval-valued Pythagorean fuzzy (IPF) logic. The effectiveness of these IPF-AHP and IPF-COPRAS evaluations for the supplier selection problem is compared and examined. The experimental results of case scenarios show that IPF is an effective way to apply in decision-making applications. In addition, sensitivity analysis is conducted to evaluate the proposed methodologies. According to sensitivity analysis, the IPF-AHP and IPF-COPRAS be able to illustrate the effects of small changings in criteria weights. Therefore, companies can use the IPF-AHP and IPF-COPRAS to assist their decision-makers in identifying and selecting the best suppliers.","","International Journal of Computational Intelligence Systems","2","10.1007/s44196-023-00297-4","https://consensus.app/papers/an-intervalvalued-pythagorean-fuzzy-ahp-and-copras-hybrid-erdebilli-ylmaz/ff765de5dd605ee7a364506d7a0a496f/"
"Green Supplier Selection Using Fuzzy AHP, Fuzzy TOSIS, and Fuzzy WASPAS: A Case Study of the Moroccan Automotive Industry","The Fuzzy hybrid methods used in the MCDM framework effectively rank green suppliers based on environmental criteria and traditional criteria, aiding decision-makers in selecting efficient ecological suppliers.","Imane Tronnebati, F. Jawab, Youness Frichi, Jabir Arif",2024,33,"The green supplier selection presents numerous challenges, from initial assessment to final selection, which specialists in this field of supplier management often encounter. Among the techniques that aim to meet these challenges that are continually progressing is the creation and development of high-quality decision-making tools. In this study, the assessment of suppliers hinges on both traditional and environmental factors. A framework of multi-criteria decision-making (MCDM) is announced in order to appraise green supplier selection. This framework integrates Fuzzy Analytical Hierarchy Process (AHP) combined with two additional methods: WASPAS (“Weighted Aggregated Sum-Product Assessment”) and TOPSIS (“Technique for Order Preference by Similarity to Ideal Solution”). At the outset, there were five environmental criteria for green supplier selection: “Health and Safety”, “Sustainable Product Design”, “ISO 14001 Certification”, “Investment Recovery”, and “Green Packaging”, along with three conventional criteria including quality, price, and delivery, were pinpointed through a review of literature and expert input to facilitate the MCDM approach. As part of demonstrating the pertinency of the recommended framework, a practical case study of the automotive industry in Morocco is discussed. The results demonstrate that the utilized Fuzzy hybrid methods yield consistent rankings for green suppliers. Additionally, among the four green suppliers, number three obtained the best ranking, which indicates the robustness and performance of the chosen models. Furthermore, this study offers a unified platform for selecting green suppliers under a Fuzzy environment. Therefore, the chosen strategy and its analysis provide relevant data and information to decision-makers for the choice and selection of suppliers. It can also provide and help procurement departments and decision-makers to choose and select the efficient ecological supplier in the global market supply chain.","theoretical, modeling, or simulation study","Sustainability","1","10.3390/su16114580","https://consensus.app/papers/green-supplier-selection-using-fuzzy-ahp-fuzzy-tosis-and-tronnebati-jawab/7ce9c71461515079a3931d07145cf9eb/"
"A rankability-based fuzzy decision making procedure for oil supplier selection","The proposed rankability-based weighting method in multiple-criteria decision-making effectively addresses limitations of the entropy-based method and reduces computation requirements, making it a promising approach for real-life applications.","Václav Snášel, I. Perfilieva, Meenu Singh, Millie Pant, Z. Alijani, Lingping Kong",2023,8,"","","Appl. Soft Comput.","1","10.1016/j.asoc.2023.110956","https://consensus.app/papers/a-rankabilitybased-fuzzy-decision-making-procedure-for-snel-perfilieva/e8766b0bea6453c2be8dceaeac8d1a1f/"
